state3,confirmed,deaths,incidenceRate,fatalityRate
Oklahoma,4654,78,10661.1078,1.675977654
Oklahoma,5156,79,13467.76721,1.5321955
Oklahoma,8397,131,11567.39035,1.560080981
Oklahoma,1010,22,9102.379236,2.178217822
Oklahoma,390,12,10884.73346,3.076923077
Oklahoma,10572,193,11434.25735,1.825576996
Oklahoma,2879,78,11868.24965,2.709274053
Oklahoma,4148,56,9978.589815,1.350048216
Oklahoma,4890,105,11334.39955,2.147239264
Oklahoma,3534,34,17685.03228,0.962082626
Oklahoma,803,17,11075.86207,2.117061021
Oklahoma,75371,1112,11567.91783,1.47536851
Oklahoma,214,0,,0
Oklahoma,8169,121,10049.33017,1.48120945
Oklahoma,5242,118,10173.3072,2.251049218
Oklahoma,1087,23,9957.860022,2.115915363
Oklahoma,1207,18,13726.82816,1.491300746
Oklahoma,3170,36,15684.52823,1.135646688
Oregon,977,15,6059.290499,1.53531218
Oregon,3205,22,3444.273693,0.686427457
Oregon,18398,223,4399.467224,1.21208827
Oregon,1011,8,2513.424821,0.791295747
Oregon,1843,29,3520.265882,1.573521432
Oregon,2147,37,3329.353203,1.723334886
Oregon,1212,22,4966.398951,1.815181518
Oregon,673,10,2935.65976,1.485884101
Oregon,9707,79,4910.163284,0.813845678
Oregon,3624,78,3265.453235,2.152317881
Oregon,71,1,3713.389121,1.408450704
Oregon,536,6,7445.478539,1.119402985
Oregon,394,8,5329.365616,2.030456853
Oregon,1207,32,5162.090497,2.651201326
Oregon,11301,145,5114.870736,1.283072294
Oregon,2326,38,9433.044043,1.633705933
Oregon,3491,72,3990.307131,2.06244629
Oregon,4702,73,6890.588821,1.552530838
Oregon,463,7,5883.848011,1.51187905
Oregon,13581,155,3554.612149,1.141300346
Oregon,1402,21,2806.132661,1.4978602
Oregon,5384,77,4149.550286,1.430163447
Oregon,3576,63,11697.36024,1.761744966
Oregon,22961,319,6601.440984,1.389312312
Oregon,1135,16,9781.952943,1.40969163
Oregon,39681,607,4881.682465,1.529699352
Oregon,3890,55,4518.789568,1.413881748
Oregon,64,1,3595.505618,1.5625
Oregon,665,4,2459.683385,0.601503759
Oregon,8442,86,10830.01924,1.018715944
Oregon,0,0,,
Oregon,1472,23,5485.373579,1.5625
Oregon,189,5,2622.08657,2.645502646
Oregon,1425,28,5340.67911,1.964912281
Oregon,26401,239,4388.522454,0.90526874
Oregon,34,1,2552.552553,2.941176471
Oregon,4657,78,4348.272642,1.674898003
Pennsylvania,9587,184,9306.953761,1.919265672
Pennsylvania,101411,1985,8339.411782,1.957381349
Pennsylvania,5981,145,9239.205994,2.424343755
Pennsylvania,15444,384,9421.15184,2.486402486
Pennsylvania,4654,138,9718.509856,2.965191233
Pennsylvania,48080,1035,11415.98047,2.15266223
Pennsylvania,13450,339,11040.06435,2.520446097
Pennsylvania,6071,90,10064.15463,1.482457585
Pennsylvania,60627,1305,9649.832079,2.152506309
Pennsylvania,17503,417,9317.39179,2.382448723
Pennsylvania,14658,432,11258.7563,2.94719607
Pennsylvania,303,7,6813.58219,2.310231023
Pennsylvania,6368,171,9921.784924,2.685301508
Pennsylvania,16867,224,10387.04314,1.328036995
Pennsylvania,40682,816,7749.114743,2.005801091
Pennsylvania,3184,92,8283.469483,2.889447236
Pennsylvania,8599,147,10849.78866,1.709501105
Pennsylvania,3684,66,9536.135846,1.791530945
Pennsylvania,5857,133,9015.762576,2.270787092
Pennsylvania,7470,152,8826.761512,2.03480589
Pennsylvania,20439,524,8066.858744,2.56372621
Pennsylvania,25981,552,9335.6426,2.124629537
Pennsylvania,52194,1393,9209.400314,2.668889144
Pennsylvania,2865,40,9578.736209,1.396160558
Pennsylvania,21068,416,7810.831653,1.974558572
Pennsylvania,13235,323,10237.94421,2.440498678
Pennsylvania,1433,21,19773.69946,1.465457083
Pennsylvania,15336,370,9892.470344,2.412623891
Pennsylvania,1359,15,9353.062629,1.103752759
